FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
30075,619440,D,2/24/16 0:00,78,M,Outside/Open Areas
30181,626789,D,3/9/16 0:00,56,M,Outside/Open Areas
30182,626791,I,3/9/16 0:00,28,F,Vehicle/Towed Trailer
30183,626794,I,3/8/16 0:00,22,M,Vehicle/Towed Trailer
30551,627093,D,5/29/16 0:00,20,M,In Water
30552,627093,D,6/12/16 0:00,53,M,In Water
30257,628559,D,5/24/16 0:00,,,Vehicle/Towed Trailer
30371,633058,D,5/9/16 0:00,78,M,Permanent Home
30373,633089,D,5/9/16 0:00,76,M,Permanent Home
30707,644220,D,5/28/16 0:00,21,M,In Water
30036,608183,I,1/17/16 0:00,,,Unknown
29640,608721,D,1/19/16 0:00,30,M,Outside/Open Areas
29638,608730,D,1/24/16 0:00,46,M,Outside/Open Areas
29639,608730,D,1/24/16 0:00,36,F,Outside/Open Areas
29669,608906,D,1/24/16 0:00,36,M,Outside/Open Areas
30033,608907,D,1/1/16 0:00,65,M,Outside/Open Areas
29714,608934,I,2/4/16 0:00,67,M,Outside/Open Areas
29749,609333,I,1/24/16 0:00,66,M,Outside/Open Areas
29746,609334,I,1/24/16 0:00,,M,Outside/Open Areas
29747,609340,I,1/24/16 0:00,70,M,Permanent Home
29748,609340,I,1/24/16 0:00,76,M,Permanent Home
29701,609389,D,1/17/16 0:00,58,M,Mobile/Trailer Home
29702,609389,D,1/17/16 0:00,51,F,Mobile/Trailer Home
29764,610536,I,1/23/16 0:00,54,M,Outside/Open Areas
29763,610536,I,1/26/16 0:00,55,M,Vehicle/Towed Trailer
29766,610537,I,1/23/16 0:00,54,M,Outside/Open Areas
29765,610537,I,1/26/16 0:00,55,M,Vehicle/Towed Trailer
29768,610538,I,1/23/16 0:00,54,M,Outside/Open Areas
29767,610538,I,1/26/16 0:00,55,M,Vehicle/Towed Trailer
29772,610540,I,1/23/16 0:00,54,M,Outside/Open Areas
31536,614284,D,2/25/16 0:00,28,M,In Water
31537,642919,I,7/16/16 0:00,46,M,In Water
31538,642919,I,7/16/16 0:00,6,F,In Water
31568,646454,D,6/2/16 0:00,36,M,In Water
31569,646433,D,6/3/16 0:00,46,M,Vehicle/Towed Trailer
29771,610540,I,1/26/16 0:00,55,M,Vehicle/Towed Trailer
29782,611127,I,1/30/16 0:00,23,M,In Water
29783,611146,I,1/19/16 0:00,31,M,Boating
29784,611146,I,1/19/16 0:00,37,M,Boating
29785,611146,I,1/19/16 0:00,52,M,Boating
29964,611231,I,1/20/16 0:00,22,M,Vehicle/Towed Trailer
29825,611879,I,1/26/16 0:00,46,M,Boating
29828,611941,D,1/15/16 0:00,98,F,Outside/Open Areas
29842,612214,D,1/14/16 0:00,57,F,Permanent Structure
29918,613720,D,1/23/16 0:00,36,M,Vehicle/Towed Trailer
29927,613990,I,1/1/16 0:00,27,M,In Water
29959,614361,D,1/11/16 0:00,43,F,Outside/Open Areas
29956,614452,D,1/8/16 0:00,50,M,Outside/Open Areas
29957,614453,D,1/17/16 0:00,21,F,Outside/Open Areas
30024,614456,D,1/4/16 0:00,39,M,Outside/Open Areas
30032,614502,D,1/14/16 0:00,72,M,In Water
29967,614678,I,1/20/16 0:00,55,F,Vehicle/Towed Trailer
30000,615221,I,1/20/16 0:00,,,Unknown
29998,615222,I,1/20/16 0:00,44,M,Vehicle/Towed Trailer
29997,615223,I,1/20/16 0:00,60,F,Vehicle/Towed Trailer
30015,615345,D,1/31/16 0:00,48,F,Vehicle/Towed Trailer
29982,615772,D,1/14/16 0:00,29,M,Outside/Open Areas
29990,616052,D,1/14/16 0:00,23,M,Outside/Open Areas
29994,616169,D,1/2/16 0:00,35,M,Outside/Open Areas
29995,616171,D,1/16/16 0:00,25,M,Outside/Open Areas
30001,616387,D,1/11/16 0:00,53,F,Outside/Open Areas
30019,616498,D,1/23/16 0:00,80,F,Outside/Open Areas
30010,616502,D,1/18/16 0:00,50,M,Outside/Open Areas
30011,616502,D,1/18/16 0:00,57,M,Outside/Open Areas
30004,616503,D,1/11/16 0:00,70,F,Outside/Open Areas
30008,616508,D,1/11/16 0:00,60,M,Outside/Open Areas
30009,616508,D,1/11/16 0:00,90,F,Outside/Open Areas
30021,616510,I,1/22/16 0:00,69,M,Outside/Open Areas
30018,616602,I,1/22/16 0:00,39,M,Vehicle/Towed Trailer
