NAME,Population
ALABAMA,4863300
ALASKA,741894
ARIZONA,6931071
ARKANSAS,2988248
CALIFORNIA,39250017
COLORADO,5540545
CONNECTICUT,3576452
DELAWARE,952065
DISTRICT OF COLUMBIA,681170
FLORIDA,20612439
GEORGIA,10310371
HAWAII,1428557
IDAHO,1683140
ILLINOIS,12801539
INDIANA,6633053
IOWA,3134693
KANSAS,2907289
KENTUCKY,4436974
LOUISIANA,4681666
MAINE,1331479
MARYLAND,6016447
MASSACHUSETTS,6811779
MICHIGAN,9928300
MINNESOTA,5519952
MISSISSIPPI,2988726
MISSOURI,6093000
MONTANA,1042520
NEBRASKA,1907116
NEVADA,2940058
NEW HAMPSHIRE,1334795
NEW JERSEY,8944469
NEW MEXICO,2081015
NEW YORK,19745289
NORTH CAROLINA,10146788
NORTH DAKOTA,757952
OHIO,11614373
OKLAHOMA,3923561
OREGON,4093465
PENNSYLVANIA,12784227
RHODE ISLAND,1056426
SOUTH CAROLINA,4961119
SOUTH DAKOTA,865454
TENNESSEE,6651194
TEXAS,27862596
UTAH,3051217
VERMONT,624594
VIRGINIA,8411808
WASHINGTON,7288000
WEST VIRGINIA,1831102
WISCONSIN,5778708
WYOMING,585501
